"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"MLI","Mali",0.043,0.063,,,,0.044,,,,0.7592,,,0.2887,,0.536,0.5483,0.4714,0.4843,0.1192,,,0.5526,,0.5694,,
"MLT","Malta",,,2.4101,2.5407,,2.6016,3.081,8.7384,8.6007,5.6107,5.7944,5.934,6.227,10.1514,8.5058,9.0031,9.3033,9.4026,9.8545,11.0344,11.2293,,,9.4833,,
"MHL","Marshall Islands",,0.422,,,,3.451,,,,,,,3.9107,,,2.8192,4.0354,3.7214,,,,,,3.339,,
"MRT","Mauritania",0.138,,,,,,,,,0.7506,,,,,0.8098,0.9587,,,,1.1366,1.1934,,1.252,1.1117,,
"MUS","Mauritius",0.85,,,,,,,,,4.8589,,,3.8293,3.9135,3.9992,4.0865,4.3801,4.3551,4.7861,5.2124,5.4077,5.4703,5.8299,2.5331,,
"MEX","Mexico",1.6,1.6,1.4,1.2,1.7,6.3807,5.2587,5.2764,5.2947,5.4188,5.7356,5.9835,6.1262,6.2054,6.3205,6.409,6.7101,6.7724,7.1154,7.1324,7.067,7.1591,7.2732,7.9986,2.3646,
"FSM","Micronesia, Federated States of",,,,,0.573,4.4786,,,2.9021,,2.929,,,3.2978,3.8,3.319,,,,,,,,2.0426,2.1529,
"MDA","Moldova, Republic of",13.9214,13.6339,14.0126,13.7205,8.716,8.1205,7.8271,7.8517,7.6688,7.3637,8.0259,7.9931,8.0339,7.9756,8.0171,8.029,8.0587,8.019,7.99,7.7856,7.4872,,8.1301,,6.4915,
"MCO","Monaco",15.114,,,,,,,,,,,,,,,,23.3611,24.4384,26.5854,27.6676,,,,,,
"MNG","Mongolia",,,,2.433,2.54,,,6.3676,,,,,,6.5311,6.2926,6.3874,6.5283,6.8258,6.8968,7.1889,7.3126,6.9248,4.1406,8.0654,,
"MNE","Montenegro",,,,,1.8578,1.884,1.9129,1.9009,1.8547,1.9363,7.32,7.3701,7.4629,7.663,7.6931,7.3266,7.1373,6.9756,7.5443,7.6321,7.7225,,,7.9851,,
"MAR","Morocco",,,0.46,,,,0.483,,,1.3388,,,0.5862,,1.5775,,,,1.6045,1.8575,,,2.1195,,,
"MOZ","Mozambique",,,,,0.2835,0.3107,0.2808,0.2996,0.2976,0.3523,0.3304,0.3643,0.3628,0.3883,0.4404,0.4527,0.4452,0.4603,0.6391,0.4184,0.4469,0.6785,0.7603,0.7685,0.5573,
"MMR","Myanmar",0.293,,,,0.297,0.302,,,,0.3663,1.1258,1.2024,1.2479,1.3044,1.3498,1.4157,1.4718,1.5307,,,,1.6538,0.8638,1.6763,1.819,
"NAM","Namibia",,,0.295,,,,,,,3.5347,,,3.2514,,,,,,1.8402,1.8527,1.8856,2.0424,2.6113,1.954,,
"NRU","Nauru",7.1698,,,,,,,,,7.3737,,,,7.9798,1.0101,1.1,8.3168,,,,8.077,,,7.8505,,
"NPL","Nepal",0.04,0.04,0.04,0.04,,,0.052,,,0.677,,,,,,,,2.1139,2.4369,2.1369,,,3.758,3.857,4.1138,
